id_property,name,path,stars,address,country,city,latitude,longitude,rating,subratings,trip_types
3,Parador de Zamora,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575310.jpg,4,"DE VIRIATO,5  ",es,ZAMORA,41.5023,-5.74777,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_location"",""value"":""5.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""10"",""localized_name"":""Business""},{""name"":""couples"",""value"":""141"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""5"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""54"",""localized_name"":""Family""},{""name"":""friends"",""value"":""28"",""localized_name"":""Friends getaway""}]"
4,AC Zamora,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575004.jpg,4,"Avenida Principe de Asturias, 43",es,ZAMORA,41.511788,-5.737024,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_location"",""value"":""4.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""27"",""localized_name"":""Business""},{""name"":""couples"",""value"":""87"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""7"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""29"",""localized_name"":""Family""},{""name"":""friends"",""value"":""12"",""localized_name"":""Friends getaway""}]"
5,NH Zamora Palacio del Duero,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575116.jpg,4,"Plaza Horta, 1",es,ZAMORA,41.5017,-5.74431,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_location"",""value"":""4.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""29"",""localized_name"":""Business""},{""name"":""couples"",""value"":""191"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""9"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""76"",""localized_name"":""Family""},{""name"":""friends"",""value"":""29"",""localized_name"":""Friends getaway""}]"
6,Villa de Benavente,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575040.jpg,4,"Avenida de las Americas, s/n",es,BENAVENTE,42.0021,-5.66086,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_location"",""value"":""3.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""15"",""localized_name"":""Business""},{""name"":""couples"",""value"":""14"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""4"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""10"",""localized_name"":""Family""},{""name"":""friends"",""value"":""4"",""localized_name"":""Friends getaway""}]"
7,Casa Aurelia,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575342.jpg,3,"DEL RIO,52  ",es,VILLARALBO,41.49458,-5.683425,3.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_location"",""value"":""3.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_room"",""value"":""3.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_value"",""value"":""3.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_cleanliness"",""value"":""3.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""6"",""localized_name"":""Business""},{""name"":""couples"",""value"":""15"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""8"",""localized_name"":""Family""},{""name"":""friends"",""value"":""9"",""localized_name"":""Friends getaway""}]"
8,Zenit Dos Infantas,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575361.jpg,4,"Cortinas de San Miguel, 3",es,ZAMORA,41.506285,-5.741746,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""25"",""localized_name"":""Business""},{""name"":""couples"",""value"":""64"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""11"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""37"",""localized_name"":""Family""},{""name"":""friends"",""value"":""29"",""localized_name"":""Friends getaway""}]"
9,Los Perales,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575137.jpg,2,"AVD GALICIA,22  ",es,PUEBLA DE SANABRIA,42.056518,-6.638549,3.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_location"",""value"":""3.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""1"",""localized_name"":""Business""},{""name"":""couples"",""value"":""8"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""0"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""5"",""localized_name"":""Family""},{""name"":""friends"",""value"":""5"",""localized_name"":""Friends getaway""}]"
10,Posada Real la Carteria,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575220.jpg,5,"Rua, 16",es,PUEBLA DE SANABRIA,42.054021,-6.633541,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""2"",""localized_name"":""Business""},{""name"":""couples"",""value"":""36"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""0"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""8"",""localized_name"":""Family""},{""name"":""friends"",""value"":""1"",""localized_name"":""Friends getaway""}]"
11,Posada Real la Pascasia,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575194.jpg,4,"Costanilla, 11",es,PUEBLA DE ZANABRIA,42.052925,-6.633544,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_room"",""value"":""4.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""1"",""localized_name"":""Business""},{""name"":""couples"",""value"":""33"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""8"",""localized_name"":""Family""},{""name"":""friends"",""value"":""0"",""localized_name"":""Friends getaway""}]"
12,Posada Real de las Misas,https://d3ony5rmo3oa45.cloudfront.net/big/7633/7633555.jpg,4,"Plaza Mayor, 13",es,PUEBLA DE SANABRIA,42.054359,-6.634072,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""29"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""8"",""localized_name"":""Family""},{""name"":""friends"",""value"":""7"",""localized_name"":""Friends getaway""}]"
13,Tudanca Benavente,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575333.jpg,3,"CTRA N VI KM 268,  ",es,Benavente,42.0520523,-5.68391479,3.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_location"",""value"":""3.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_room"",""value"":""3.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_value"",""value"":""3.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_cleanliness"",""value"":""3.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""1"",""localized_name"":""Business""},{""name"":""couples"",""value"":""16"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""18"",""localized_name"":""Family""},{""name"":""friends"",""value"":""3"",""localized_name"":""Friends getaway""}]"
14,Valbusenda Hotel Bodega & Spa,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575487.jpg,5,"CARRETERA de TORO - PELEAGOZALO,S/N  ",es,Peleagonzalo,41.483594,-5.495124,5.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_sleep"",""value"":""5.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_location"",""value"":""4.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_room"",""value"":""4.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_service"",""value"":""5.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_value"",""value"":""4.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_cleanliness"",""value"":""5.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""3"",""localized_name"":""Business""},{""name"":""couples"",""value"":""169"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""2"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""19"",""localized_name"":""Family""},{""name"":""friends"",""value"":""30"",""localized_name"":""Friends getaway""}]"
15,Posada los Condestables,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575328.jpg,0,"REAL,24  ",es,VILLALPANDO,41.86380707,-5.41134347,4.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_location"",""value"":""3.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_room"",""value"":""4.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_service"",""value"":""4.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_value"",""value"":""4.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""3"",""localized_name"":""Business""},{""name"":""couples"",""value"":""72"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""3"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""21"",""localized_name"":""Family""},{""name"":""friends"",""value"":""7"",""localized_name"":""Friends getaway""}]"
16,Sercotel Horus Zamora,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575264.jpg,4,"DEL MERCADO,20  ",es,ZAMORA,41.504033,-5.742641,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""16"",""localized_name"":""Business""},{""name"":""couples"",""value"":""129"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""5"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""47"",""localized_name"":""Family""},{""name"":""friends"",""value"":""34"",""localized_name"":""Friends getaway""}]"
17,Hospederia El Pico del Fraile,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575265.jpg,4,"CTRA. DE SANTA COLOMBA,1  ",es,COBREROS - SANABRIA,42.069416,-6.70198,4.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_room"",""value"":""4.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_service"",""value"":""4.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_value"",""value"":""4.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""36"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""2"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""6"",""localized_name"":""Family""},{""name"":""friends"",""value"":""3"",""localized_name"":""Friends getaway""}]"
18,Hotel Santiago,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575159.jpg,3,"Maragatos, 34",es,ZAMORA,42.007396,-5.676422,4.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_room"",""value"":""5.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_service"",""value"":""4.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_value"",""value"":""5.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_cleanliness"",""value"":""4.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""3"",""localized_name"":""Business""},{""name"":""couples"",""value"":""11"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""9"",""localized_name"":""Family""},{""name"":""friends"",""value"":""4"",""localized_name"":""Friends getaway""}]"
19,Juan II,https://d3ony5rmo3oa45.cloudfront.net/big/5575/5575528.jpg,3,"PASEO DEL ESPOLON,1  ",es,Toro,41.5197271,-5.3938301,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""11"",""localized_name"":""Business""},{""name"":""couples"",""value"":""42"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""2"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""20"",""localized_name"":""Family""},{""name"":""friends"",""value"":""11"",""localized_name"":""Friends getaway""}]"
